match_id,home_vote,away_vote
11701736,3,4
11701737,5,2
11701738,9,1
11701739,5,2
11701740,6,1
11701741,2,6
11701742,8,1
11701743,2,6
11701744,3,7
11701745,4,1
11701746,5,3
11701747,6,3
11701748,4,6
11701749,151,141
11701752,40,81
11701761,88,119
11701779,9,21
11701780,19,5
11701781,3,5
11701782,26,19
11701783,9,12
11701784,24,7
11701785,9,32
11701786,11,10
11701787,22,3
11701788,25,5
11701839,172,82
11701840,281,45
11701841,31,22
11701842,48,13
11701843,29,11
11701877,49,10
11701917,2,1
11701918,8,2
11701919,0,6
11701920,3,2
11701921,2,1
11701922,6,2
11701923,4,1
11701924,18,6
11701925,2,3
11701926,4,3
11701927,6,6
11701928,3,0
11701929,2,0
11701930,4,4
11701931,1,2
11701932,2,5
11701933,22,9
11701934,1,2
11702042,67,108
11702214,8,4
11702216,7,1
11702217,5,6
11702218,8,2
11702220,1,5
11702221,0,7
11702222,3,3
11702224,5,0
11702225,9,2
11702230,5,1
11702232,0,5
11702238,3,3
11702241,4,1
11702242,5,7
11702243,2,3
11702244,1,6
11702248,26,10
11703221,8,3
11703236,8,1
11703242,3,4
11703331,2,1
11703442,6,1
11703443,4,1
11703444,1,0
11703445,4,3
11703470,15,4
11703524,6,6
11703525,3,3
