match_id,period,statistic_category_name,statistic_name,home_stat,away_stat,compare_code,statistic_type,value_type,home_value,away_value,home_total,away_total
11674103,ALL,games,max_games_in_a_row,5,1,1,positive,event,5,1,,
11674103,ALL,return,first_serve_return_points,11/33 (33%),7/31 (22%),1,positive,team,11,7,33.0,31.0
11674103,ALL,return,second_serve_return_points,10/19 (52%),9/26 (34%),1,positive,team,10,9,19.0,26.0
11674103,ALL,return,return_games_played,9,9,3,positive,event,9,9,,
11674103,ALL,return,break_points_converted,3,0,1,positive,event,3,0,,
11674103,ALL,miscellaneous,tiebreaks,0,0,3,positive,event,0,0,,
11674103,1ST,service,aces,2,2,3,positive,event,2,2,,
11674103,1ST,service,double_faults,1,2,2,negative,event,1,2,,
11674103,1ST,service,first_serve,20/33 (61%),21/32 (66%),2,positive,team,20,21,33.0,32.0
11674103,1ST,service,second_serve,12/13 (92%),9/11 (82%),1,positive,team,12,9,13.0,11.0
11674103,1ST,service,first_serve_points,16/20 (80%),16/21 (76%),1,positive,team,16,16,20.0,21.0
11674103,1ST,service,second_serve_points,8/13 (62%),5/11 (45%),1,positive,team,8,5,13.0,11.0
11674103,1ST,service,service_games_played,5,5,3,positive,event,5,5,,
11674103,1ST,service,break_points_saved,2/2 (100%),2/3 (66%),1,positive,team,2,2,2.0,3.0
11674103,1ST,points,service_points_won,24,21,1,positive,event,24,21,,
11674103,1ST,points,receiver_points_won,11,9,1,positive,event,11,9,,
11674103,1ST,points,max_points_in_a_row,5,5,3,positive,event,5,5,,
11674103,1ST,games,max_games_in_a_row,2,1,1,positive,event,2,1,,
11674103,1ST,return,first_serve_return_points,5/21 (23%),4/20 (20%),1,positive,team,5,4,21.0,20.0
11674103,1ST,return,second_serve_return_points,6/11 (54%),5/13 (38%),1,positive,team,6,5,11.0,13.0
11674103,1ST,return,return_games_played,5,5,3,positive,event,5,5,,
11674103,1ST,return,break_points_converted,1,0,1,positive,event,1,0,,
11674103,1ST,miscellaneous,tiebreaks,0,0,3,positive,event,0,0,,
11674103,2ND,service,aces,3,0,1,positive,event,3,0,,
11674103,2ND,service,double_faults,0,2,2,negative,event,0,2,,
11674103,2ND,service,first_serve,11/24 (46%),12/20 (60%),2,positive,team,11,12,24.0,20.0
11674103,2ND,service,second_serve,13/13 (100%),6/8 (75%),1,positive,team,13,6,13.0,8.0
11674103,2ND,service,first_serve_points,8/11 (73%),6/12 (50%),1,positive,team,8,6,11.0,12.0
11674103,2ND,service,second_serve_points,9/13 (69%),4/8 (50%),1,positive,team,9,4,13.0,8.0
11674103,2ND,service,service_games_played,4,4,3,positive,event,4,4,,
11674103,2ND,service,break_points_saved,0/0 (0%),1/3 (33%),2,positive,team,0,1,0.0,3.0
11674103,2ND,points,service_points_won,17,10,1,positive,event,17,10,,
11674103,2ND,points,receiver_points_won,10,7,1,positive,event,10,7,,
11674103,2ND,points,max_points_in_a_row,6,4,1,positive,event,6,4,,
11674103,2ND,games,max_games_in_a_row,4,1,1,positive,event,4,1,,
11674103,2ND,return,first_serve_return_points,6/12 (50%),3/11 (27%),1,positive,team,6,3,12.0,11.0
11674103,2ND,return,second_serve_return_points,4/8 (50%),4/13 (30%),1,positive,team,4,4,8.0,13.0
11674103,2ND,return,return_games_played,4,4,3,positive,event,4,4,,
11674103,2ND,return,break_points_converted,2,0,1,positive,event,2,0,,
11674103,2ND,miscellaneous,tiebreaks,0,0,3,positive,event,0,0,,
11674105,ALL,service,aces,18,16,1,positive,event,18,16,,
11674105,ALL,service,double_faults,1,1,3,negative,event,1,1,,
11674105,ALL,service,first_serve,75/114 (66%),80/121 (66%),2,positive,team,75,80,114.0,121.0
